DEPTO,rural,mujer,etnia_negra,etnia_indigena,etnia_ninguna,gedad_15,gedad_20,gedad_25,gedad_30,gedad_35,gedad_40,gedad_45,gedad_50,gedad_55,gedad_60
SANTANDER,0.230427569567611,0.505142468186025,0.00454818978632877,0.000195624234457015,0.995256185979214,0.124893569586922,0.14035825871393,0.11947859815294,0.108979793811068,0.106122650596204,0.0929475764672999,0.0969618485804905,0.0917229707846661,0.0697794130010264,0.0487553203054532
ARAUCA,0.346999909197245,0.503223162009847,0.0183727363838746,0.0183658170662752,0.96326144654985,0.173394980703071,0.16213449876073,0.128031347905116,0.112714763292261,0.0886693608399416,0.083737065308673,0.0805451335364664,0.0752313589733808,0.0575272394834022,0.0380142511969576
CASANARE,0.237588959101468,0.494162310603542,0.0308509962858237,0.0033617707019388,0.965787233012238,0.151216013528557,0.154580214309071,0.14781443372122,0.102790379698894,0.106102223331909,0.0897799599196095,0.0848471213267098,0.0785211849611009,0.0494289028155465,0.0349195663873829
PUTUMAYO,0.493305010445977,0.502655331071045,0.0850126577041479,0.149452498351149,0.765534843944703,0.16530882654848,0.168308186505972,0.145503302860869,0.112308476336542,0.0922344246259374,0.0881761686813917,0.0767747654183825,0.0728747569649909,0.0504248191578007,0.0280862728996341
AMAZONAS,0,0.501028730978488,0.0214734271665413,0.646795586682387,0.331730986151072,0.198403675264566,0.190321032776281,0.142905897109611,0.105938927758126,0.0730807392847823,0.0729148773178869,0.0805989050379947,0.0659857604429902,0.0446418962777981,0.0252082887299638
GUAINIA,0,0.486167356058701,0.01317080098427,0.712567246234356,0.274261952781374,0.218638649972602,0.181139770053999,0.146096191145142,0.08599169426093,0.0778251136908427,0.0927902270265627,0.0603625801555024,0.0662799133996422,0.0418450022071281,0.0290308580876484
GUAVIARE,0,0.515391944244444,0.0586468218561805,0.0362254817264702,0.905127696417349,0.202440991383905,0.173417681593836,0.139562364999641,0.0781449509593862,0.0769988754048651,0.0732346357899683,0.0786716290967783,0.0754022548458739,0.0645772109605609,0.0375494049651854
VAUPES,0,0.491000434295396,0.0100341620965291,0.807528776709889,0.182437061193582,0.205355320036113,0.161972798178022,0.167151348027338,0.0827697735353666,0.0827112075845381,0.0654437381244131,0.0826163472416468,0.0544622099077916,0.0623925345735017,0.0351247227912697
VICHADA,0,0.497010480518162,0.0178366471952028,0.177991894716495,0.804171458088302,0.176791718676115,0.18332661715258,0.170106661686864,0.0831108257189317,0.0741821275331741,0.0859578311213619,0.0747226981792052,0.0673512802787816,0.0580136049072894,0.026436634745697
BOGOTA D.C.,0.00139045689167611,0.518313234964923,0.0240674023359504,0.00366495053494858,0.972267647129101,0.115711874031695,0.125670228030926,0.11664742163092,0.126470280240913,0.106572183971433,0.103766840787465,0.0930612478388777,0.0917755183063401,0.0721755619496303,0.0481488432117991
