U_MPIO,rural,mujer,etnia_negra,etnia_indigena,etnia_ninguna,NA_15,NA_20,NA_25,NA_30,NA_35,NA_40,NA_45,NA_50,NA_55,NA_60
18001,0.107282184655397,0.50856561316221,0.0143231375209664,0.00884830666591282,0.976828555813121,0.14883812969978,0.148574282429656,0.133657488550913,0.116790109496617,0.105614292983547,0.0850436290307382,0.077363788846799,0.0740374286198903,0.0611748742013909,0.0489059761406683
18029,0.562224482875551,0.488979315022041,0.0084774499830451,0.0223804679552391,0.969142082061716,0.179382841641234,0.126483553747033,0.116649711766701,0.0908782638182435,0.101729399796541,0.0915564598168871,0.0902000678195999,0.0776534418446931,0.0732451678535097,0.0522210918955578
18094,0.357420494699647,0.510070671378092,0.0049469964664311,0.0275618374558304,0.967491166077739,0.191342756183746,0.132332155477032,0.112897526501767,0.0991166077738516,0.0989399293286219,0.0908127208480565,0.0833922261484099,0.0812720848056537,0.0628975265017668,0.0469964664310954
18150,0.45012548882274,0.488005603221853,0.0139496877371155,0.0065370921613261,0.979513220101558,0.174050078795307,0.139088309111072,0.120936204984533,0.11480768108329,0.105877546255764,0.0929784626160042,0.0859160684060001,0.0707990427829335,0.0550983482168914,0.0404482577482052
18205,0.302577431232402,0.501191249729262,0.0288065843621399,0.00389863547758285,0.967294780160277,0.183885640025991,0.129954515919428,0.112843837990037,0.108295429932857,0.100931340697423,0.090751570283734,0.0768897552523284,0.0716915746155512,0.0680095299978341,0.056746805284817
18247,0.299688195991091,0.511358574610245,0.0606681514476615,0.00685968819599109,0.932472160356347,0.165077951002227,0.121692650334076,0.110022271714922,0.105567928730512,0.0995100222717149,0.0930957683741648,0.0879287305122494,0.0843652561247216,0.0752783964365256,0.0574610244988864
18256,0.406510034263338,0.498776309348997,0.00636319138521782,0.0429515418502203,0.950685266764562,0.16776798825257,0.144273127753304,0.12126774351444,0.101199216837983,0.0930004894762604,0.0852912383749388,0.0933675966715614,0.0794175232501224,0.0659569260890847,0.0484581497797357
18410,0.801956636700159,0.469196192490746,0.00330512956107879,0.0120306716023268,0.984664198836594,0.18204653622422,0.126123744050767,0.11660497091486,0.102723426758329,0.103913273400317,0.0990216816499207,0.091485986250661,0.072316234796404,0.0612109994711793,0.0445531464833421
18460,0.86540158870256,0.460282436010591,0.00330979699911739,0.263901147396293,0.73278905560459,0.216240070609003,0.131288614298323,0.116946160635481,0.0973080317740512,0.103927625772286,0.0880406001765225,0.074360105913504,0.0688437775816417,0.0551632833186231,0.0478817299205649
18479,0.462912087912088,0.485347985347985,0.00732600732600733,0.000915750915750916,0.991758241758242,0.15018315018315,0.141941391941392,0.119047619047619,0.107142857142857,0.0888278388278388,0.0993589743589744,0.097985347985348,0.0782967032967033,0.0608974358974359,0.0563186813186813
18592,0.416820215846275,0.496578046854435,0.0118452224269545,0.0211239799947355,0.96703079757831,0.19097130823901,0.13727296657015,0.113977362463806,0.0991708344301132,0.0969992103185049,0.0864043169255067,0.0891023953672019,0.076533298236378,0.0604764411687286,0.0490918662806002
18610,0.460103049714524,0.493663835120457,0.0105834841944019,0.0378777329062805,0.951538782899318,0.198579585016014,0.129369168639465,0.115304275170589,0.109455507589472,0.0985935106531124,0.0948335886366801,0.0816042333936778,0.0689319036345913,0.0609942904887899,0.0423339367776076
18753,0.491786866402166,0.471393080944788,0.00982609662946346,0.0152767992880715,0.974897104082465,0.168675145537469,0.140865438095591,0.131039341466128,0.116578293596351,0.107122993066113,0.0898809744521488,0.0834291223256331,0.0681152434276391,0.0540620712670103,0.0402313767659164
18756,0.730148786217698,0.434925606891151,0.0209866875489428,0.184494909945184,0.794518402505873,0.22443226311668,0.145653876272514,0.129678935003915,0.108535630383712,0.0967893500391543,0.0790916209866876,0.0739232576350822,0.0659357870007831,0.0457321848081441,0.0302270947533281
18785,0.409613683279269,0.493954585667945,0.0247714538484223,0.00973164258330876,0.965496903568269,0.195517546446476,0.118254202300206,0.115895016219404,0.10026540843409,0.0970215275729873,0.091123562370982,0.089943969330581,0.0828664110881746,0.0636980241816573,0.0454143320554409
18860,0.636505460218409,0.475299011960478,0.00806032241289652,0.00390015600624025,0.988039521580863,0.207748309932397,0.122984919396776,0.094383775351014,0.0845033801352054,0.0964638585543422,0.100624024960998,0.0923036921476859,0.0871034841393656,0.0709828393135726,0.0429017160686427
